arrival_station,arrival_time,departure_station,departure_time,platform_number
,,TokyoMetro.Chiyoda.Ayase,2019-07-27 11:07:00,
,,TokyoMetro.Chiyoda.KitaSenju,2019-07-27 11:11:00,
,,TokyoMetro.Chiyoda.Machiya,2019-07-27 11:14:00,
,,TokyoMetro.Chiyoda.NishiNippori,2019-07-27 11:17:00,
,,TokyoMetro.Chiyoda.Sendagi,2019-07-27 11:19:00,
,,TokyoMetro.Chiyoda.Nezu,2019-07-27 11:21:00,
,,TokyoMetro.Chiyoda.Yushima,2019-07-27 11:23:00,
,,TokyoMetro.Chiyoda.ShinOchanomizu,2019-07-27 11:25:00,
,,TokyoMetro.Chiyoda.Otemachi,2019-07-27 11:27:00,
,,TokyoMetro.Chiyoda.Nijubashimae,2019-07-27 11:29:00,
,,TokyoMetro.Chiyoda.Hibiya,2019-07-27 11:31:00,
,,TokyoMetro.Chiyoda.Kasumigaseki,2019-07-27 11:33:00,
,,TokyoMetro.Chiyoda.KokkaiGijidomae,2019-07-27 11:35:00,
,,TokyoMetro.Chiyoda.Akasaka,2019-07-27 11:36:00,
,,TokyoMetro.Chiyoda.Nogizaka,2019-07-27 11:39:00,
,,TokyoMetro.Chiyoda.OmoteSando,2019-07-27 11:41:00,
,,TokyoMetro.Chiyoda.MeijiJingumae,2019-07-27 11:43:00,
,,TokyoMetro.Chiyoda.YoyogiKoen,2019-07-27 11:46:00,
TokyoMetro.Chiyoda.YoyogiUehara,2019-07-27 11:48:00,,,
,,TokyoMetro.Chiyoda.Ayase,2019-07-27 10:35:00,
,,TokyoMetro.Chiyoda.KitaSenju,2019-07-27 10:39:00,
,,TokyoMetro.Chiyoda.Machiya,2019-07-27 10:43:00,
,,TokyoMetro.Chiyoda.NishiNippori,2019-07-27 10:45:00,
,,TokyoMetro.Chiyoda.Sendagi,2019-07-27 10:47:00,
,,TokyoMetro.Chiyoda.Nezu,2019-07-27 10:49:00,
,,TokyoMetro.Chiyoda.Yushima,2019-07-27 10:51:00,
,,TokyoMetro.Chiyoda.ShinOchanomizu,2019-07-27 10:53:00,
