date,title,operator
2019-04-25 14:00:00+09:00,光が丘方面,Toei
2019-04-25 14:00:00+09:00,三ノ輪橋方面,Toei
2019-04-25 14:00:00+09:00,早稲田方面,Toei
2019-04-25 14:00:00+09:00,東行,nan
2019-04-25 14:00:00+09:00,上り,nan
2019-04-25 14:00:00+09:00,内回り,nan
2019-04-25 14:00:00+09:00,北行,nan
2019-04-25 14:00:00+09:00,下り,nan
2019-04-25 14:00:00+09:00,外回り,nan
2019-04-25 14:00:00+09:00,上下線,nan
2019-04-25 14:00:00+09:00,南行,nan
2019-04-25 14:00:00+09:00,赤羽岩淵方面,TokyoMetro
2019-04-25 14:00:00+09:00,浅草方面,TokyoMetro
2019-04-25 14:00:00+09:00,方南町方面,TokyoMetro
2019-04-25 14:00:00+09:00,池袋方面,TokyoMetro
2019-04-25 14:00:00+09:00,北綾瀬方面,TokyoMetro
2019-04-25 14:00:00+09:00,北千住方面,TokyoMetro
2019-04-25 14:00:00+09:00,目黒方面,TokyoMetro
2019-04-25 14:00:00+09:00,中目黒方面,TokyoMetro
2019-04-25 14:00:00+09:00,中野坂上方面,TokyoMetro
2019-04-25 14:00:00+09:00,中野方面,TokyoMetro
2019-04-25 14:00:00+09:00,西船橋方面,TokyoMetro
2019-04-25 14:00:00+09:00,荻窪方面,TokyoMetro
2019-04-25 14:00:00+09:00,押上方面,TokyoMetro
2019-04-25 14:00:00+09:00,渋谷方面,TokyoMetro
2019-04-25 14:00:00+09:00,新木場方面,TokyoMetro
2019-04-25 14:00:00+09:00,和光市方面,TokyoMetro
2019-04-25 14:00:00+09:00,代々木上原方面,TokyoMetro
2019-04-25 14:00:00+09:00,西行,nan
