date,title,ascending_direction,descending_direction,line_code,operator
2018-07-27 16:00:00+09:00,東葉高速線,,,TR,ToyoRapid
2018-07-27 16:00:00+09:00,埼玉高速鉄道線,,,SR,SaitamaRailway
2018-07-27 16:00:00+09:00,会津線,,,,Aizu
2018-07-27 16:00:00+09:00,みなとみらい線,,,MM,Minatomirai
2018-08-03 18:00:00+09:00,箱根登山線,,,OH,HakoneTozan
2019-05-27 16:00:00+09:00,北陸新幹線,,,,JR-East
2018-07-27 16:00:00+09:00,秩父本線,,,,Chichibu
2018-07-27 16:00:00+09:00,富士急行線,,,FJ,Fujikyu
2018-07-27 16:00:00+09:00,芝山鉄道線,,,SR,Shibayama
2018-08-21 19:00:00+09:00,つくばエクスプレス,,,,MIR
2018-07-27 16:00:00+09:00,新京成線,,,SL,ShinKeisei
2018-08-08 16:00:00+09:00,羽田空港線,,,,TokyoMonorail
2018-07-27 16:00:00+09:00,会津鬼怒川線,,,,Yagan
2018-07-30 17:00:00+09:00,伊豆急行線,,,IZ,Izukyu
2018-08-03 18:00:00+09:00,御殿場線,,,CB,JR-Central
2019-05-27 16:00:00+09:00,飯山線,,,,JR-East
2018-08-08 16:00:00+09:00,大洗鹿島線,,,,KashimaRinkai
2018-07-30 17:00:00+09:00,駿豆線,,,IS,IzuHakone
2018-08-31 15:00:00+09:00,山陰本線,,,,JR-West
2018-08-31 15:00:00+09:00,瀬戸大橋線,,,,JR-Shikoku
2018-08-10 13:00:00+09:00,北総線,,,HS,Hokuso
2019-02-18 15:00:00+09:00,ほくほく線,,,,Hokuetsu
2019-04-25 15:00:00+09:00,多摩線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,OT,kyu
2019-04-25 15:00:00+09:00,江ノ島線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,OE,kyu
2019-04-25 15:00:00+09:00,小田原線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,OH,kyu
2019-04-25 16:00:00+09:00,成田スカイアクセス線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,Keisei
2019-04-25 16:00:00+09:00,千葉線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KS,Keisei
2019-04-25 16:00:00+09:00,千原線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KS,Keisei
2019-04-25 16:00:00+09:00,東成田線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KS,Keisei
2019-04-25 16:00:00+09:00,金町線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KS,Keisei
2019-04-25 16:00:00+09:00,京成本線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KS,Keisei
2019-05-27 16:00:00+09:00,石巻線,,,,JR-East
2019-04-25 16:00:00+09:00,押上線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KS,Keisei
2019-05-27 16:00:00+09:00,北上線,,,,JR-East
2019-05-27 16:00:00+09:00,吾妻線,,,,JR-East
2019-04-25 16:00:00+09:00,拝島線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,SS,Seibu
2019-05-27 16:00:00+09:00,小海線,,,,JR-East
2019-05-27 16:00:00+09:00,秋田新幹線,,,,JR-East
2019-04-25 16:00:00+09:00,池袋線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,SI,Seibu
2019-04-25 16:00:00+09:00,国分寺線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,SK,Seibu
2019-04-25 16:00:00+09:00,狭山線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,SI,Seibu
2019-05-27 16:00:00+09:00,東海道線,,,,JR-Central
2019-04-25 16:00:00+09:00,西武秩父線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,SI,Seibu
2019-04-25 16:00:00+09:00,西武有楽町線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,SI,Seibu
2019-04-25 16:00:00+09:00,西武園線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,SK,Seibu
2019-04-25 16:00:00+09:00,新宿線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,SS,Seibu
2019-04-25 16:00:00+09:00,多摩川線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,SW,Seibu
2019-04-25 16:00:00+09:00,多摩湖線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,ST,Seibu
2019-04-25 16:00:00+09:00,豊島線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,SI,Seibu
2019-04-25 16:00:00+09:00,山口線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,SY,Seibu
2019-03-26 11:00:00+09:00,土讃線,,,,JR-Shikoku
2019-05-27 16:00:00+09:00,左沢線,,,,JR-East
2019-05-27 16:00:00+09:00,大湊線,,,,JR-East
2019-05-27 16:00:00+09:00,磐越東線,,,,JR-East
2019-05-27 16:00:00+09:00,奥羽本線,,,,JR-East
2019-05-27 16:00:00+09:00,花輪線,,,,JR-East
2019-05-27 16:00:00+09:00,磐越西線,,,,JR-East
2019-05-27 16:00:00+09:00,中央線快速,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JC,JR-East
2019-05-27 16:00:00+09:00,中央・総武各駅停車,odpt.RailDirection:Westbound,odpt.RailDirection:Eastbound,JB,JR-East
2019-05-27 16:00:00+09:00,中央本線,,,,JR-East
2019-05-27 16:00:00+09:00,越後線,,,,JR-East
2019-05-27 16:00:00+09:00,五能線,,,,JR-East
2019-05-27 16:00:00+09:00,八高線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,八戸線,,,,JR-East
2019-05-27 16:00:00+09:00,伊東線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,五日市線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JC,JR-East
2019-05-27 16:00:00+09:00,常磐線各駅停車,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JL,JR-East
2019-05-27 16:00:00+09:00,常磐線快速,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,常磐線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,上越新幹線,,,,JR-East
2019-05-27 16:00:00+09:00,上越線,,,,JR-East
2019-05-27 16:00:00+09:00,釜石線,,,,JR-East
2019-05-27 16:00:00+09:00,烏山線,,,,JR-East
2019-05-27 16:00:00+09:00,鹿島線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,川越線(川越-高麗川間),odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,京浜東北線・根岸線,odpt.RailDirection:Southbound,odpt.RailDirection:Northbound,JK,JR-East
2019-05-27 16:00:00+09:00,京葉線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,気仙沼線,,,,JR-East
2019-05-27 16:00:00+09:00,久留里線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,水戸線,,,,JR-East
2019-05-27 16:00:00+09:00,武蔵野線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JM,JR-East
2019-05-27 16:00:00+09:00,南武線浜川崎支線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JN,JR-East
2019-05-27 16:00:00+09:00,南武線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JN,JR-East
2019-05-27 16:00:00+09:00,成田線我孫子支線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,成田線空港支線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JO,JR-East
2019-05-27 16:00:00+09:00,成田線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,日光線,,,,JR-East
2019-05-27 16:00:00+09:00,大船渡線,,,,JR-East
2019-05-27 16:00:00+09:00,男鹿線,,,,JR-East
2019-05-27 16:00:00+09:00,大糸線,,,,JR-East
2019-05-27 16:00:00+09:00,青梅線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JC,JR-East
2019-05-27 16:00:00+09:00,陸羽東線,,,,JR-East
2019-05-27 16:00:00+09:00,陸羽西線,,,,JR-East
2019-05-27 16:00:00+09:00,両毛線,,,,JR-East
2019-05-27 16:00:00+09:00,相模線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,埼京線・川越線,odpt.RailDirection:Northbound,odpt.RailDirection:Southbound,,JR-East
2019-05-27 16:00:00+09:00,仙石東北ライン,,,,JR-East
2019-05-27 16:00:00+09:00,仙石線,,,,JR-East
2019-05-27 16:00:00+09:00,仙山線,,,,JR-East
2019-05-27 16:00:00+09:00,信越本線,,,,JR-East
2019-05-27 16:00:00+09:00,篠ノ井線,,,,JR-East
2019-05-27 16:00:00+09:00,湘南新宿ライン,odpt.RailDirection:Northbound,odpt.RailDirection:Southbound,JS,JR-East
2019-05-27 16:00:00+09:00,総武快速線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JO,JR-East
2019-05-27 16:00:00+09:00,総武本線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,外房線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,水郡線,,,,JR-East
2019-05-27 16:00:00+09:00,只見線,,,,JR-East
2019-05-27 16:00:00+09:00,高崎線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
