date,issued,ChildIcCard,child_ticket,from_station,IcCard,operator,ticket_fare,to_station
2019-04-25 16:00:00+09:00,2014-04-01,77,80,Tokyu.DenEnToshi.Aobadai,154,Tokyu,160,Tokyu.DenEnToshi.Azamino
2019-04-25 16:00:00+09:00,2014-04-01,97,100,Tokyu.DenEnToshi.Aobadai,195,Tokyu,200,Tokyu.DenEnToshi.ChuoRinkan
2019-04-25 16:00:00+09:00,2014-04-01,77,80,Tokyu.DenEnToshi.Aobadai,154,Tokyu,160,Tokyu.DenEnToshi.Eda
2019-04-25 16:00:00+09:00,2014-04-01,62,70,Tokyu.DenEnToshi.Aobadai,124,Tokyu,130,Tokyu.DenEnToshi.Fujigaoka
2019-04-25 16:00:00+09:00,2014-04-01,108,110,Tokyu.DenEnToshi.Aobadai,216,Tokyu,220,Tokyu.DenEnToshi.FutakoShinchi
2019-04-25 16:00:00+09:00,2014-04-01,108,110,Tokyu.DenEnToshi.Aobadai,216,Tokyu,220,Tokyu.DenEnToshi.FutakoTamagawa
2019-04-25 16:00:00+09:00,2014-04-01,62,70,Tokyu.DenEnToshi.Aobadai,124,Tokyu,130,Tokyu.DenEnToshi.Ichigao
2019-04-25 16:00:00+09:00,2014-04-01,133,140,Tokyu.DenEnToshi.Aobadai,267,Tokyu,270,Tokyu.DenEnToshi.Ikejiriohashi
2019-04-25 16:00:00+09:00,2014-04-01,97,100,Tokyu.DenEnToshi.Aobadai,195,Tokyu,200,Tokyu.DenEnToshi.Kajigaya
2019-04-25 16:00:00+09:00,2014-04-01,123,130,Tokyu.DenEnToshi.Aobadai,247,Tokyu,250,Tokyu.DenEnToshi.KomazawaDaigaku
2019-04-25 16:00:00+09:00,2014-04-01,77,80,Tokyu.DenEnToshi.Aobadai,154,Tokyu,160,Tokyu.DenEnToshi.MinamiMachida
