date,valid,operator,railway,time_of_origin,train_info_status
2019-07-16 14:00:00+09:00,2019-07-16 14:00:00+09:00,JR-East,TokyoMetro.Chiyoda,2019-07-16 14:00:00+09:00,1.0
2019-07-16 14:00:00+09:00,2019-07-16 14:00:00+09:00,JR-East,TokyoMetro.Chiyoda,2019-07-16 14:00:00+09:00,1.0
2018-07-27 16:00:00+09:00,2018-07-27 16:00:00+09:00,JR-East,TokyoMetro.Chiyoda,2018-07-27 16:00:00+09:00,1.0
2018-07-30 17:00:00+09:00,2018-07-30 17:00:00+09:00,JR-East,TWR.Rinkai,2018-07-30 17:00:00+09:00,1.0
2018-07-30 17:00:00+09:00,2018-07-30 17:00:00+09:00,JR-East,TWR.Rinkai,2018-07-30 17:00:00+09:00,1.0
2018-08-10 13:00:00+09:00,2018-08-10 13:00:00+09:00,JR-East,TWR.Rinkai,2018-08-10 13:00:00+09:00,1.0
2018-07-27 16:00:00+09:00,2018-07-27 16:00:00+09:00,JR-East,TWR.Rinkai,2018-07-27 16:00:00+09:00,1.0
2018-08-03 18:00:00+09:00,2018-08-03 18:00:00+09:00,JR-East,TWR.Rinkai,2018-08-03 18:00:00+09:00,1.0
2018-08-03 18:00:00+09:00,2018-08-03 18:00:00+09:00,JR-East,TWR.Rinkai,2018-08-03 18:00:00+09:00,1.0
2018-07-27 16:00:00+09:00,2018-07-27 16:00:00+09:00,JR-East,TWR.Rinkai,2018-07-27 16:00:00+09:00,1.0
2019-07-16 14:00:00+09:00,2019-07-16 14:00:00+09:00,JR-East,TWR.Rinkai,2019-07-16 14:00:00+09:00,1.0
2019-02-18 15:00:00+09:00,2019-02-18 15:00:00+09:00,JR-East,TWR.Rinkai,2019-02-18 15:00:00+09:00,1.0
2019-07-16 14:00:00+09:00,2019-07-16 14:00:00+09:00,JR-East,TWR.Rinkai,2019-07-16 14:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2018-07-27 16:00:00+09:00,2018-07-27 16:00:00+09:00,JR-East,TWR.Rinkai,2018-07-27 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2018-08-31 15:00:00+09:00,2018-08-31 15:00:00+09:00,JR-East,TWR.Rinkai,2018-08-31 15:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2018-07-27 16:00:00+09:00,2018-07-27 16:00:00+09:00,JR-East,TWR.Rinkai,2018-07-27 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,JR-East,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,TokyoMetro,Keio.Keio,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,TokyoMetro,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,TokyoMetro,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,TokyoMetro,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,TokyoMetro,Toei.Asakusa,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,TokyoMetro,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
2019-04-25 16:00:00+09:00,2019-04-25 16:00:00+09:00,TokyoMetro,TWR.Rinkai,2019-04-25 16:00:00+09:00,1.0
