date,issued,calendar,destination_station,next_train_timetable,operator,origin_station,previous_train_timetable,rail_direction,railway,train,train_number,train_type,via_railway
2019-04-25 15:00:00+09:00,2019-03-16,SaturdayHoliday,TokyoMetro.Chiyoda.YoyogiUehara,,TokyoMetro,JR-East.JobanLocal.Abiko,JR-East.JobanLocal.1000K.SaturdayHoliday,TokyoMetro.YoyogiUehara,TokyoMetro.Chiyoda,kyoMetro.Chiyoda.A1001K,A1001K,kyoMetro.Local,
2019-04-25 15:00:00+09:00,2019-03-16,SaturdayHoliday,Odakyu.Odawara.MukogaokaYuen,,TokyoMetro,JR-East.JobanLocal.Abiko,JR-East.JobanLocal.1000S.SaturdayHoliday,TokyoMetro.YoyogiUehara,TokyoMetro.Chiyoda,kyoMetro.Chiyoda.A1001S,A1001S,kyoMetro.SemiExpress,
2019-04-25 15:00:00+09:00,2019-03-16,Weekday,TokyoMetro.Chiyoda.YoyogiUehara,,TokyoMetro,TokyoMetro.Chiyoda.Ayase,,TokyoMetro.YoyogiUehara,TokyoMetro.Chiyoda,kyoMetro.Chiyoda.A1001S,A1001S,kyoMetro.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1002K,1002K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1003F.Weekday,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1003F,1003F,WR.Rapid,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,JR-East.SaikyoKawagoe.Omiya,JR-East.SaikyoKawagoe.1005K.Weekday,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1005K,1005K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.ShinKiba,,TWR,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1008F.Weekday,Inbound,TWR.Rinkai,WR.Rinkai.1008F,1008F,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1008K,1008K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1009K,1009K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,JR-East.SaikyoKawagoe.Omiya,JR-East.SaikyoKawagoe.1011K.Weekday,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1011K,1011K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.ShinKiba,,TWR,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1016F.Weekday,Inbound,TWR.Rinkai,WR.Rinkai.1016F,1016F,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1016K,1016K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1017K,1017K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1036K,1036K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1037K,1037K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1038K,1038K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1039K,1039K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,JR-East.SaikyoKawagoe.Omiya,JR-East.SaikyoKawagoe.1041K.SaturdayHoliday,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1041K,1041K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1042K,1042K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1043K,1043K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1044F.SaturdayHoliday,Inbound,TWR.Rinkai,WR.Rinkai.1044F,1044F,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.ShinKiba,,TWR,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1048F.Weekday,Inbound,TWR.Rinkai,WR.Rinkai.1048F,1048F,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1050K,1050K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1051F.SaturdayHoliday,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1051F,1051F,WR.Rapid,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1053K,1053K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1056K,1056K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1057K,1057K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1081T,1081T,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1082F.SaturdayHoliday,Inbound,TWR.Rinkai,WR.Rinkai.1082F,1082F,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1087F.SaturdayHoliday,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1087F,1087F,WR.Rapid,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1087F.Weekday,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1087F,1087F,WR.Rapid,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1090F.SaturdayHoliday,Inbound,TWR.Rinkai,WR.Rinkai.1090F,1090F,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1102K,1102K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1103K,1103K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1108K,1108K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1109F.SaturdayHoliday,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1109F,1109F,WR.Rapid,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1116K,1116K,WR.Local,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0042,0042,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1117K,1117K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1120F.SaturdayHoliday,Inbound,TWR.Rinkai,WR.Rinkai.1120F,1120F,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1136K,1136K,WR.Local,
2019-04-25 15:00:00+09:00,2018-12-10,Weekday,Toei.Asakusa.NishiMagome,,Toei,Toei.Asakusa.Sengakuji,,Southbound,Toei.Asakusa,ei.Asakusa.ODPT1866,ODPT1866,Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1137K,1137K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1139F.SaturdayHoliday,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1139F,1139F,WR.Rapid,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1143F.Weekday,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1143F,1143F,WR.Rapid,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.ShinKiba,,TWR,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1146F.Weekday,Inbound,TWR.Rinkai,WR.Rinkai.1146F,1146F,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1149K,1149K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1152K,1152K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.Osaki,,TWR,TWR.Rinkai.ShinKiba,,Outbound,TWR.Rinkai,WR.Rinkai.1153K,1153K,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,SaturdayHoliday,TWR.Rinkai.ShinKiba,,TWR,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1154F.SaturdayHoliday,Inbound,TWR.Rinkai,WR.Rinkai.1154F,1154F,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.ShinKiba,,TWR,JR-East.SaikyoKawagoe.Kawagoe,JR-East.SaikyoKawagoe.1154F.Weekday,Inbound,TWR.Rinkai,WR.Rinkai.1154F,1154F,WR.Local,
2019-04-25 16:00:00+09:00,2019-03-16,Weekday,TWR.Rinkai.ShinKiba,,TWR,TWR.Rinkai.Osaki,,Inbound,TWR.Rinkai,WR.Rinkai.1156K,1156K,WR.Local,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0042,0042,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0043,0043,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0043,0043,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0044,0044,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0044,0044,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0045,0045,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0045,0045,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0046,0046,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0046,0046,Keio.LimitedExpress,
2019-04-25 15:00:00+09:00,2018-12-08,SaturdayHoliday,Toei.Asakusa.Sengakuji,,Toei,Toei.Asakusa.NishiMagome,,Northbound,Toei.Asakusa,ei.Asakusa.ODPT0269,ODPT0269,Local,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0047,0047,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0047,0047,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0048,0048,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0048,0048,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0049,0049,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0049,0049,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0050,0050,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0050,0050,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0051,0051,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0051,0051,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0052,0052,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0052,0052,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0053,0053,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0053,0053,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0054,0054,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0054,0054,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0055,0055,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0055,0055,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0056,0056,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0056,0056,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0057,0057,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0058,0058,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0058,0058,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0059,0059,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0060,0060,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0060,0060,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0061,0061,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0062,0062,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0062,0062,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0063,0063,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0064,0064,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,Weekday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0064,0064,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0065,0065,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0066,0066,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0067,0067,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0068,0068,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0069,0069,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0070,0070,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0071,0071,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0072,0072,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0073,0073,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0074,0074,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0075,0075,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0076,0076,Keio.LimitedExpress,
2019-04-25 15:00:00+09:00,2018-12-10,Weekday,Keisei.Oshiage.Aoto,,Toei,Keikyu.Main.KanagawaShimmachi,,Northbound,Toei.Asakusa,ei.Asakusa.ODPT0090,ODPT0090,Local,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0077,0077,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0078,0078,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.KeioHachioji,,Keio,Keio.Keio.Shinjuku,,Outbound,Keio.Keio,Keio.Keio.0079,0079,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0080,0080,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0082,0082,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0084,0084,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0086,0086,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0088,0088,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0090,0090,Keio.LimitedExpress,
2019-04-25 16:00:00+09:00,2019-02-22,SaturdayHoliday,Keio.Keio.Shinjuku,,Keio,Keio.Keio.KeioHachioji,,Inbound,Keio.Keio,Keio.Keio.0092,0092,Keio.LimitedExpress,
